,mean,std,mean_difference,percentual_variation_base,sample_size,pooled_estimated_std,power,iteration
T1,3.502776666666666,3.410587127543517,-1.2957446666666668,-26.67182655076019,150,3.674053370825758,0.777989910424398,0
T2,4.798521333333333,3.912957102523693,0.0,0.0,150,3.912957102523693,,0
T3,5.952630666666667,4.370682377324202,1.1541093333333334,24.61898512343189,150,4.152167857337389,0.6214663305622328,0
T1,2.797584666666667,2.8233263444674135,-2.0028413333333335,-41.46756377146643,150,3.4151284554863595,0.9872366487142202,1
T2,4.800426000000001,3.91297876261512,0.0,0.0,150,3.91297876261512,,1
T3,6.806196666666668,4.895516384829532,2.0057706666666664,42.411707339185824,150,4.43564258423436,0.915871117702708,1
T1,7.703037333333333,6.335900393564028,-1.9084300000000003,-19.606297578771663,150,6.417971016109159,0.6661552557772773,2
T2,9.611467333333334,6.491360447546039,0.0,0.0,150,6.491360447546039,,2
T3,11.054296666666668,6.667845712112068,1.4428293333333335,15.366108156460905,150,6.5848844108500675,0.48170167442530254,2
T1,6.993312666666666,5.813168938247441,-2.6038073333333336,-26.912507842791253,150,6.165011721871472,0.883084717519349,3
T2,9.597119999999999,6.490845487659737,0.0,0.0,150,6.490845487659737,,3
T3,11.900158,7.112307475254751,2.303038,24.376237668336735,150,6.813479788711932,0.7512881087198747,3
T1,6.298680666666667,5.2888365368283505,-3.3094146666666666,-34.249150023024995,150,5.923006887046343,0.9789120248448676,4
T2,9.608095333333333,6.4890532463945885,0.0,0.0,150,6.4890532463945885,,4
T3,12.738107333333334,7.5670434778669335,3.1300119999999994,32.978186890903544,150,7.0535483470779266,0.9068427319372168,4
T1,5.608516,4.76875742141192,-4.002558,-41.46658312111253,150,5.700057709371167,0.9980953212281827,5
T2,9.611073999999999,6.493431259799804,0.0,0.0,150,6.493431259799804,,5
T3,13.590693333333334,8.009333663180097,3.979619333333333,41.84008785191547,150,7.295703840215907,0.973034553234799,5
T1,4.902764666666667,4.244744093771044,-4.696788666666667,-48.77164141300863,150,5.490728168758604,0.9999516626522267,6
T2,9.599553333333333,6.497128940364979,0.0,0.0,150,6.497128940364979,,6
T3,14.458516666666666,8.46023777400274,4.8589633333333335,51.08165624174512,150,7.547773479886379,0.9942314370254526,6
T1,11.887926666666667,9.149717332265853,-2.522694,-17.28726562308059,150,9.069256852816004,0.6225512951985289,7
T2,14.410620666666667,8.978857427806325,0.0,0.0,150,8.978857427806325,,7
T3,16.148828,8.884754592227855,1.7382073333333334,12.35582256056797,150,8.937743651210427,0.4205248870222148,7
T1,11.190028666666667,8.64608322793458,-3.2177266666666666,-22.13489921295022,150,8.816487689463456,0.8004407698941887,8
T2,14.407755333333334,8.974896703305408,0.0,0.0,150,8.974896703305408,,8
T3,16.999000666666667,9.31809739289889,2.591245333333333,18.28540125105152,150,9.154215222009872,0.6344972665661553,8
T1,10.492771333333332,8.1537156226373,-3.901341333333333,-26.9061144135391,150,8.576673922731658,0.9154650135835778,9
T2,14.394112666666665,8.971329214515107,0.0,0.0,150,8.971329214515107,,9
T3,17.871959333333336,9.721456618505282,3.4778466666666668,24.48536154365046,150,9.36005935087306,0.811923178138144,9
T1,9.807151333333334,7.651038630988277,-4.595014,-31.72189089869262,150,8.339764636982377,0.9747852395325619,10
T2,14.402165333333333,8.967882859501579,0.0,0.0,150,8.967882859501579,,10
T3,18.703781333333335,10.158976135702892,4.301616,30.208543044995704,150,9.58845514362917,0.9107517861131575,10
T1,9.095336,7.144133149978917,-5.3116666666666665,-36.70022609051911,150,8.115630806668928,0.9950557763385117,11
T2,14.407002666666667,8.97530806375527,0.0,0.0,150,8.97530806375527,,11
T3,19.5449,10.56781317440964,5.137897333333334,36.01648240653858,150,9.810513694390606,0.9646473158333568,11
T1,8.393936666666667,6.6496422742861645,-6.007904666666667,-41.562553172954395,150,7.898772001366023,0.9992649647641363,12
T2,14.401841333333333,8.96893460854107,0.0,0.0,150,8.96893460854107,,12
T3,20.414106666666665,10.982824062141866,6.012265333333333,42.12088042715217,150,10.033025186676928,0.9874741170090471,12
T1,7.698678666666667,6.139939456096725,-6.696999333333333,-46.37849480449468,150,7.685495027300432,0.9999501487297595,13
T2,14.395677999999997,8.962379815740166,0.0,0.0,150,8.962379815740166,,13
T3,21.264814,11.40275252624898,6.869136,48.10861146597214,150,10.26198934311005,0.9959042127053679,13
T1,6.998910666666667,5.642564404233746,-7.409300666666667,-51.29584587639795,150,7.495694303757246,0.9999988933399736,14
T2,14.408211333333334,8.968323722120061,0.0,0.0,150,8.968323722120061,,14
